,time,weather,Humidity,wind,temp
85,08:20,Passing clouds.,1004 mbar,22 km/h,17ʡC
86,08:50,Scattered clouds.,1005 mbar,20 km/h,18ʡC
87,09:20,Broken clouds.,1005 mbar,26 km/h,19ʡC
88,09:50,Broken clouds.,1005 mbar,22 km/h,18ʡC
89,10:20,Broken clouds.,1004 mbar,20 km/h,19ʡC
90,10:50,Broken clouds.,1005 mbar,22 km/h,19ʡC
91,11:20,Broken clouds.,1005 mbar,22 km/h,19ʡC
92,11:50,Sprinkles. Broken clouds.,1005 mbar,20 km/h,19ʡC
93,12:20,Broken clouds.,1005 mbar,22 km/h,20ʡC
94,12:50,Sprinkles. Scattered clouds.,1005 mbar,32 km/h,17ʡC
95,13:31,Lots of rain. Partly sunny.,1005 mbar,24 km/h,18ʡC
96,13:50,Scattered clouds.,1005 mbar,19 km/h,19ʡC
97,14:20,Broken clouds.,1005 mbar,22 km/h,18ʡC
98,14:50,Partly sunny.,1005 mbar,19 km/h,20ʡC
99,15:20,Partly sunny.,1005 mbar,28 km/h,20ʡC
100,15:50,Broken clouds.,1005 mbar,22 km/h,20ʡC
101,16:23,Partly sunny.,1005 mbar,24 km/h,21ʡC
102,16:50,Broken clouds.,1006 mbar,28 km/h,20ʡC
103,17:25,Partly sunny.,1006 mbar,26 km/h,20ʡC
104,17:50,Partly sunny.,1006 mbar,22 km/h,20ʡC
105,18:50,Partly sunny.,1006 mbar,22 km/h,18ʡC
106,19:50,Broken clouds.,1007 mbar,22 km/h,17ʡC
107,20:50,Partly sunny.,1007 mbar,13 km/h,17ʡC
108,21:22,Clear.,1007 mbar,15 km/h,16ʡC
109,21:50,Clear.,1007 mbar,13 km/h,16ʡC
110,22:23,Clear.,1007 mbar,11 km/h,16ʡC
111,22:50,Clear.,1007 mbar,11 km/h,16ʡC
112,23:21,Clear.,1008 mbar,13 km/h,16ʡC
113,23:50,Passing clouds.,1008 mbar,13 km/h,16ʡC
114,"00:50Thu, 1 Jul",Passing clouds.,1018 mbar,2 km/h,14ʡC
115,01:50,Passing clouds.,1018 mbar,2 km/h,13ʡC
116,02:50,Passing clouds.,1018 mbar,6 km/h,13ʡC
117,03:50,Partly cloudy.,1018 mbar,4 km/h,12ʡC
118,04:50,Sunny.,1018 mbar,4 km/h,12ʡC
119,05:50,Passing clouds.,1018 mbar,4 km/h,11ʡC
120,06:50,Scattered clouds.,1018 mbar,9 km/h,14ʡC
121,07:50,Partly sunny.,1018 mbar,7 km/h,14ʡC
122,08:22,Partly sunny.,1018 mbar,7 km/h,15ʡC
123,08:50,Broken clouds.,1018 mbar,7 km/h,16ʡC
124,09:22,Partly sunny.,1018 mbar,11 km/h,16ʡC
125,09:50,Broken clouds.,1018 mbar,4 km/h,16ʡC
126,10:23,Broken clouds.,1018 mbar,4 km/h,17ʡC
127,10:50,Broken clouds.,1018 mbar,7 km/h,18ʡC
128,11:23,Broken clouds.,1018 mbar,13 km/h,18ʡC
129,11:50,Partly sunny.,1018 mbar,13 km/h,19ʡC
130,12:20,Broken clouds.,1018 mbar,11 km/h,18ʡC
131,12:50,Partly sunny.,1018 mbar,11 km/h,19ʡC
132,13:20,Broken clouds.,1018 mbar,15 km/h,19ʡC
133,13:50,Partly sunny.,1018 mbar,11 km/h,20ʡC
134,14:20,Partly sunny.,1017 mbar,9 km/h,19ʡC
135,14:50,Broken clouds.,1017 mbar,9 km/h,19ʡC
136,15:23,Broken clouds.,1017 mbar,9 km/h,20ʡC
137,15:50,Broken clouds.,1017 mbar,9 km/h,20ʡC
138,16:19,Sunny.,1017 mbar,11 km/h,21ʡC
139,16:50,Sunny.,1017 mbar,13 km/h,20ʡC
140,17:20,Broken clouds.,1017 mbar,9 km/h,21ʡC
141,17:50,Partly sunny.,1017 mbar,9 km/h,21ʡC
142,18:19,Sunny.,1017 mbar,9 km/h,21ʡC
143,18:50,Sunny.,1017 mbar,11 km/h,21ʡC
144,19:20,Partly sunny.,1016 mbar,9 km/h,21ʡC
145,19:50,Broken clouds.,1016 mbar,11 km/h,20ʡC
146,20:22,Sunny.,1016 mbar,7 km/h,19ʡC
147,20:50,Sunny.,1017 mbar,7 km/h,19ʡC
148,21:20,Clear.,1017 mbar,6 km/h,18ʡC
149,21:50,Clear.,1017 mbar,6 km/h,17ʡC
150,22:50,Clear.,1017 mbar,4 km/h,16ʡC
151,23:23,Passing clouds.,1017 mbar,4 km/h,16ʡC
152,23:50,Clear.,1017 mbar,4 km/h,16ʡC
153,"00:50Sat, 1 Aug",Passing clouds.,1012 mbar,11 km/h,21ʡC
154,01:50,Passing clouds.,1013 mbar,15 km/h,21ʡC
155,02:50,Partly cloudy.,1013 mbar,19 km/h,20ʡC
156,03:50,Passing clouds.,1014 mbar,26 km/h,18ʡC
157,04:50,Passing clouds.,1014 mbar,15 km/h,17ʡC
158,05:50,Sunny.,1014 mbar,13 km/h,16ʡC
159,06:50,Passing clouds.,1015 mbar,13 km/h,16ʡC
160,07:50,Passing clouds.,1015 mbar,15 km/h,18ʡC
161,08:50,Passing clouds.,1015 mbar,19 km/h,19ʡC
162,09:50,Passing clouds.,1015 mbar,24 km/h,21ʡC
163,10:50,Passing clouds.,1015 mbar,24 km/h,23ʡC
164,11:50,Passing clouds.,1015 mbar,19 km/h,23ʡC
165,12:50,Scattered clouds.,1015 mbar,19 km/h,24ʡC
166,13:50,Partly sunny.,1015 mbar,17 km/h,24ʡC
167,14:50,Scattered clouds.,1015 mbar,20 km/h,26ʡC
168,15:50,Partly sunny.,1015 mbar,19 km/h,24ʡC
169,16:50,Scattered clouds.,1014 mbar,20 km/h,26ʡC
170,17:50,Scattered clouds.,1014 mbar,22 km/h,24ʡC
171,18:50,Sunny.,1014 mbar,22 km/h,23ʡC
172,19:50,Passing clouds.,1015 mbar,22 km/h,22ʡC
173,20:50,Clear.,1015 mbar,17 km/h,20ʡC
174,21:50,Clear.,1016 mbar,15 km/h,19ʡC
175,22:50,Clear.,1016 mbar,20 km/h,18ʡC
176,23:50,Passing clouds.,1016 mbar,17 km/h,17ʡC
177,"01:50Sun, 1 Aug",Passing clouds.,1010 mbar,9 km/h,15ʡC
178,02:50,Overcast.,1009 mbar,6 km/h,15ʡC
179,03:50,Overcast.,1009 mbar,7 km/h,15ʡC
180,04:50,Overcast.,1009 mbar,6 km/h,15ʡC
181,05:50,Overcast.,1009 mbar,4 km/h,15ʡC
182,06:50,Broken clouds.,1010 mbar,6 km/h,15ʡC
183,07:50,Partly sunny.,1010 mbar,4 km/h,15ʡC
184,08:20,Broken clouds.,1010 mbar,4 km/h,16ʡC
185,08:50,Partly sunny.,1010 mbar,4 km/h,16ʡC
186,09:20,Broken clouds.,1010 mbar,2 km/h,17ʡC
187,09:50,Broken clouds.,1010 mbar,4 km/h,17ʡC
188,10:20,Broken clouds.,1011 mbar,7 km/h,17ʡC
189,10:50,Broken clouds.,1011 mbar,9 km/h,18ʡC
190,11:20,Broken clouds.,1011 mbar,9 km/h,18ʡC
191,11:50,Partly sunny.,1011 mbar,6 km/h,19ʡC
192,12:20,Broken clouds.,1011 mbar,6 km/h,19ʡC
193,12:50,Broken clouds.,1011 mbar,6 km/h,20ʡC
194,13:20,Broken clouds.,1011 mbar,11 km/h,19ʡC
195,13:50,Scattered showers. Broken clouds.,1011 mbar,9 km/h,20ʡC
196,14:10,Sprinkles. Broken clouds.,1011 mbar,20 km/h,17ʡC
197,14:20,Broken clouds.,1011 mbar,17 km/h,17ʡC
198,14:50,Partly sunny.,1011 mbar,13 km/h,19ʡC
199,15:50,Scattered clouds.,1011 mbar,19 km/h,20ʡC
200,16:20,Partly sunny.,1011 mbar,20 km/h,19ʡC
201,16:50,Partly sunny.,1011 mbar,20 km/h,19ʡC
202,17:20,Partly sunny.,1011 mbar,15 km/h,19ʡC
203,17:50,Partly sunny.,1011 mbar,13 km/h,19ʡC
204,18:20,Partly sunny.,1012 mbar,15 km/h,19ʡC
205,18:50,Partly sunny.,1012 mbar,17 km/h,19ʡC
206,19:20,Partly sunny.,1012 mbar,17 km/h,19ʡC
207,19:50,Partly sunny.,1012 mbar,15 km/h,18ʡC
208,20:20,Partly sunny.,1013 mbar,17 km/h,17ʡC
209,20:50,Passing clouds.,1013 mbar,15 km/h,17ʡC
210,21:50,Partly cloudy.,1013 mbar,11 km/h,16ʡC
211,22:50,Passing clouds.,1014 mbar,11 km/h,15ʡC
212,23:50,Passing clouds.,1014 mbar,9 km/h,14ʡC
213,"00:50Tue, 1 Sep",Clear.,1021 mbar,4 km/h,8ʡC
214,01:50,Clear.,1021 mbar,2 km/h,7ʡC
215,02:50,Clear.,1021 mbar,4 km/h,7ʡC
216,03:50,Clear.,1021 mbar,2 km/h,7ʡC
217,04:50,Clear.,1021 mbar,2 km/h,6ʡC
218,05:50,Clear.,1021 mbar,4 km/h,6ʡC
219,06:50,Sunny.,1021 mbar,2 km/h,6ʡC
220,07:50,Sunny.,1021 mbar,2 km/h,8ʡC
221,08:50,Sunny.,1021 mbar,2 km/h,10ʡC
222,09:50,Passing clouds.,1021 mbar,4 km/h,15ʡC
223,10:50,Passing clouds.,1021 mbar,4 km/h,17ʡC
224,11:50,Sunny.,1021 mbar,4 km/h,17ʡC
225,12:50,Sunny.,1020 mbar,9 km/h,19ʡC
226,13:50,Sunny.,1020 mbar,7 km/h,20ʡC
227,14:50,Sunny.,1020 mbar,7 km/h,20ʡC
228,15:50,Sunny.,1019 mbar,9 km/h,19ʡC
229,16:50,Sunny.,1019 mbar,9 km/h,19ʡC
230,17:50,Sunny.,1019 mbar,11 km/h,19ʡC
231,18:50,Sunny.,1019 mbar,9 km/h,19ʡC
232,19:50,Clear.,1019 mbar,6 km/h,16ʡC
233,20:50,Passing clouds.,1019 mbar,4 km/h,14ʡC
234,21:50,Clear.,1020 mbar,4 km/h,12ʡC
235,22:50,Clear.,1020 mbar,4 km/h,11ʡC
236,23:50,Clear.,1020 mbar,4 km/h,10ʡC
237,"00:50Wed, 1 Sep",Passing clouds.,1031 mbar,11 km/h,15ʡC
238,01:50,Overcast.,1031 mbar,11 km/h,15ʡC
239,02:50,Overcast.,1031 mbar,11 km/h,15ʡC
240,03:50,Passing clouds.,1031 mbar,9 km/h,14ʡC
241,04:50,Overcast.,1031 mbar,13 km/h,14ʡC
242,05:50,Passing clouds.,1031 mbar,15 km/h,14ʡC
243,06:50,Partly sunny.,1031 mbar,13 km/h,14ʡC
244,07:50,Partly sunny.,1031 mbar,15 km/h,15ʡC
245,08:22,Partly sunny.,1031 mbar,19 km/h,15ʡC
246,08:50,Partly sunny.,1031 mbar,19 km/h,15ʡC
247,09:20,Partly sunny.,1031 mbar,15 km/h,15ʡC
248,09:50,Partly sunny.,1031 mbar,22 km/h,16ʡC
249,10:20,Broken clouds.,1031 mbar,20 km/h,16ʡC
250,10:50,Sprinkles. Mostly cloudy.,1031 mbar,19 km/h,16ʡC
251,11:20,Partly sunny.,1031 mbar,15 km/h,16ʡC
252,11:50,Broken clouds.,1031 mbar,17 km/h,17ʡC
253,12:20,Sprinkles. Broken clouds.,1031 mbar,20 km/h,16ʡC
254,12:50,Sprinkles. Broken clouds.,1031 mbar,17 km/h,16ʡC
255,13:20,Broken clouds.,1031 mbar,17 km/h,17ʡC
256,13:50,Partly sunny.,1031 mbar,20 km/h,17ʡC
257,14:20,Partly sunny.,1030 mbar,17 km/h,18ʡC
258,14:50,Partly sunny.,1030 mbar,20 km/h,18ʡC
259,15:20,Partly sunny.,1030 mbar,19 km/h,18ʡC
260,15:50,Broken clouds.,1030 mbar,17 km/h,18ʡC
261,16:20,Partly sunny.,1030 mbar,17 km/h,18ʡC
262,16:50,Partly sunny.,1030 mbar,17 km/h,18ʡC
263,17:20,Overcast.,1030 mbar,15 km/h,18ʡC
264,17:50,More clouds than sun.,1029 mbar,17 km/h,18ʡC
265,18:50,Overcast.,1029 mbar,20 km/h,18ʡC
266,19:20,Overcast.,1029 mbar,17 km/h,17ʡC
267,19:50,Overcast.,1029 mbar,20 km/h,17ʡC
268,20:20,Overcast.,1029 mbar,22 km/h,17ʡC
269,20:50,Overcast.,1029 mbar,22 km/h,16ʡC
270,21:20,Overcast.,1030 mbar,20 km/h,16ʡC
271,21:50,Overcast.,1030 mbar,19 km/h,16ʡC
272,22:20,Overcast.,1030 mbar,20 km/h,16ʡC
273,22:50,Overcast.,1030 mbar,19 km/h,16ʡC
274,23:50,Overcast.,1030 mbar,19 km/h,15ʡC
275,"00:50Thu, 1 Oct",Passing clouds.,1000 mbar,9 km/h,13ʡC
276,01:50,Passing clouds.,999 mbar,11 km/h,12ʡC
277,02:50,Passing clouds.,999 mbar,6 km/h,11ʡC
278,03:50,Passing clouds.,999 mbar,7 km/h,12ʡC
279,04:50,Low clouds.,998 mbar,15 km/h,12ʡC
280,05:50,Passing clouds.,998 mbar,9 km/h,11ʡC
281,06:36,Mostly cloudy.,998 mbar,9 km/h,11ʡC
282,06:50,Mostly cloudy.,998 mbar,7 km/h,11ʡC
283,07:50,Partly sunny.,998 mbar,7 km/h,11ʡC
284,08:50,Overcast.,998 mbar,15 km/h,11ʡC
285,09:50,Partly sunny.,998 mbar,7 km/h,12ʡC
286,10:57,Partly sunny.,998 mbar,15 km/h,13ʡC
287,11:50,Partly sunny.,998 mbar,13 km/h,13ʡC
288,12:50,Scattered clouds.,998 mbar,19 km/h,14ʡC
289,13:50,Scattered clouds.,997 mbar,15 km/h,16ʡC
290,14:50,Scattered clouds.,997 mbar,13 km/h,14ʡC
291,15:50,Scattered clouds.,997 mbar,13 km/h,16ʡC
292,16:50,Scattered clouds.,996 mbar,7 km/h,15ʡC
293,17:50,Partly sunny.,996 mbar,11 km/h,14ʡC
294,18:50,Partly cloudy.,995 mbar,9 km/h,12ʡC
295,19:50,Passing clouds.,995 mbar,7 km/h,11ʡC
296,20:50,Passing clouds.,994 mbar,11 km/h,11ʡC
297,21:50,Partly cloudy.,993 mbar,13 km/h,11ʡC
298,22:50,Passing clouds.,993 mbar,13 km/h,10ʡC
299,23:50,Partly cloudy.,992 mbar,11 km/h,10ʡC
300,"00:50Fri, 1 Oct",Fog.,1012 mbar,19 km/h,15ʡC
301,01:50,Passing clouds.,1011 mbar,17 km/h,15ʡC
302,02:50,Partly cloudy.,1010 mbar,19 km/h,15ʡC
303,03:50,Passing clouds.,1009 mbar,17 km/h,16ʡC
304,04:50,Passing clouds.,1008 mbar,20 km/h,16ʡC
305,05:50,Passing clouds.,1008 mbar,22 km/h,16ʡC
306,06:50,Light rain. Mostly cloudy.,1008 mbar,19 km/h,16ʡC
307,07:22,Light rain. Partly sunny.,1008 mbar,20 km/h,16ʡC
308,07:50,Light rain. Partly sunny.,1008 mbar,19 km/h,15ʡC
309,08:20,Light rain. Partly sunny.,1008 mbar,19 km/h,14ʡC
310,08:50,Partly sunny.,1008 mbar,17 km/h,14ʡC
311,09:20,Broken clouds.,1008 mbar,17 km/h,14ʡC
312,09:50,Broken clouds.,1009 mbar,17 km/h,14ʡC
313,10:50,Partly sunny.,1009 mbar,17 km/h,16ʡC
314,11:20,Partly sunny.,1008 mbar,19 km/h,16ʡC
315,11:50,Partly sunny.,1008 mbar,19 km/h,16ʡC
316,12:23,Broken clouds.,1008 mbar,24 km/h,17ʡC
317,12:50,Broken clouds.,1008 mbar,24 km/h,17ʡC
318,13:22,Broken clouds.,1008 mbar,22 km/h,18ʡC
319,13:50,Scattered clouds.,1009 mbar,24 km/h,16ʡC
320,14:20,Scattered clouds.,1009 mbar,24 km/h,16ʡC
321,14:50,Scattered clouds.,1009 mbar,28 km/h,18ʡC
322,15:23,Scattered clouds.,1009 mbar,22 km/h,18ʡC
323,15:50,Scattered clouds.,1009 mbar,22 km/h,17ʡC
324,16:22,Scattered clouds.,1009 mbar,24 km/h,17ʡC
325,16:50,Passing clouds.,1009 mbar,19 km/h,17ʡC
326,17:20,Passing clouds.,1010 mbar,20 km/h,16ʡC
327,17:50,Passing clouds.,1010 mbar,17 km/h,15ʡC
328,18:20,Passing clouds.,1010 mbar,15 km/h,14ʡC
329,18:50,Passing clouds.,1010 mbar,11 km/h,13ʡC
330,19:20,Passing clouds.,1011 mbar,7 km/h,13ʡC
331,19:50,Clear.,1011 mbar,9 km/h,12ʡC
332,20:20,Clear.,1011 mbar,9 km/h,11ʡC
333,20:50,Clear.,1012 mbar,9 km/h,11ʡC
334,21:20,Clear.,1012 mbar,6 km/h,10ʡC
335,22:20,Clear.,1012 mbar,7 km/h,10ʡC
336,22:50,Cool.,1012 mbar,2 km/h,9ʡC
337,23:50,Cool.,1012 mbar,4 km/h,8ʡC
338,"00:50Sun, 1 Nov",Passing clouds.,1010 mbar,11 km/h,10ʡC
339,01:50,Passing clouds.,1008 mbar,13 km/h,11ʡC
340,02:50,Partly cloudy.,1007 mbar,19 km/h,11ʡC
341,03:50,Passing clouds.,1006 mbar,20 km/h,12ʡC
342,04:50,Partly cloudy.,1005 mbar,20 km/h,11ʡC
343,05:50,Partly cloudy.,1004 mbar,15 km/h,11ʡC
344,06:50,Passing clouds.,1002 mbar,24 km/h,13ʡC
345,07:19,Partly sunny.,1002 mbar,22 km/h,13ʡC
346,07:50,Drizzle. Partly sunny.,1001 mbar,22 km/h,13ʡC
347,08:20,Drizzle. Mostly cloudy.,1001 mbar,20 km/h,13ʡC
348,08:50,Drizzle. Broken clouds.,1001 mbar,22 km/h,14ʡC
349,09:33,Partly sunny.,1001 mbar,24 km/h,16ʡC
350,09:50,Scattered clouds.,1001 mbar,26 km/h,17ʡC
351,10:50,Broken clouds.,1001 mbar,26 km/h,17ʡC
352,11:50,Broken clouds.,1002 mbar,28 km/h,17ʡC
353,12:50,Broken clouds.,1002 mbar,26 km/h,16ʡC
354,13:50,Broken clouds.,1002 mbar,28 km/h,16ʡC
355,14:50,Light rain. Partly sunny.,1002 mbar,28 km/h,16ʡC
356,15:21,Light rain. Partly sunny.,1002 mbar,28 km/h,15ʡC
357,15:50,Partly sunny.,1001 mbar,24 km/h,16ʡC
358,16:14,Partly sunny.,1001 mbar,26 km/h,16ʡC
359,16:50,Passing clouds.,1000 mbar,32 km/h,16ʡC
360,17:50,Passing clouds.,1000 mbar,32 km/h,17ʡC
361,18:50,Passing clouds.,1000 mbar,28 km/h,16ʡC
362,19:50,Passing clouds.,999 mbar,32 km/h,17ʡC
363,20:50,Passing clouds.,999 mbar,30 km/h,17ʡC
364,21:50,Passing clouds.,999 mbar,30 km/h,17ʡC
365,22:50,Passing clouds.,999 mbar,32 km/h,16ʡC
366,23:50,Passing clouds.,999 mbar,32 km/h,17ʡC
367,"00:50Mon, 1 Nov",Cool.,991 mbar,26 km/h,10ʡC
368,01:50,Cool.,991 mbar,22 km/h,10ʡC
369,02:50,Passing clouds.,991 mbar,22 km/h,10ʡC
370,03:50,Partly cloudy.,991 mbar,24 km/h,10ʡC
371,04:50,Passing clouds.,992 mbar,24 km/h,10ʡC
372,05:50,Passing clouds.,992 mbar,26 km/h,10ʡC
373,06:50,Clear.,992 mbar,22 km/h,9ʡC
374,07:50,Sunny.,993 mbar,22 km/h,9ʡC
375,08:20,Sunny.,993 mbar,22 km/h,10ʡC
376,08:50,Sunny.,994 mbar,20 km/h,11ʡC
377,09:20,Sunny.,994 mbar,24 km/h,11ʡC
378,09:50,Passing clouds.,994 mbar,22 km/h,11ʡC
379,10:20,Passing clouds.,994 mbar,24 km/h,12ʡC
380,10:50,Passing clouds.,994 mbar,28 km/h,12ʡC
381,11:20,Passing clouds.,995 mbar,20 km/h,13ʡC
382,11:50,Scattered clouds.,995 mbar,26 km/h,13ʡC
383,12:50,Scattered clouds.,995 mbar,20 km/h,11ʡC
384,13:20,Passing clouds.,995 mbar,20 km/h,11ʡC
385,13:50,Passing clouds.,995 mbar,17 km/h,11ʡC
386,14:20,Passing clouds.,995 mbar,26 km/h,12ʡC
387,14:50,Passing clouds.,995 mbar,24 km/h,12ʡC
388,15:50,Passing clouds.,995 mbar,22 km/h,12ʡC
389,16:20,Passing clouds.,995 mbar,13 km/h,11ʡC
390,16:50,Passing clouds.,995 mbar,15 km/h,10ʡC
391,17:21,Passing clouds.,995 mbar,13 km/h,9ʡC
392,17:50,Clear.,995 mbar,13 km/h,9ʡC
393,18:20,Clear.,996 mbar,11 km/h,9ʡC
394,18:50,Clear.,996 mbar,11 km/h,8ʡC
395,19:20,Clear.,996 mbar,7 km/h,8ʡC
396,19:50,Clear.,996 mbar,4 km/h,7ʡC
397,20:20,Clear.,996 mbar,4 km/h,7ʡC
398,20:50,Clear.,997 mbar,No wind,6ʡC
399,21:50,Clear.,997 mbar,4 km/h,4ʡC
400,22:20,Clear.,997 mbar,2 km/h,3ʡC
401,22:50,Clear.,997 mbar,2 km/h,3ʡC
402,23:22,Clear.,997 mbar,No wind,3ʡC
403,23:50,Passing clouds.,997 mbar,No wind,3ʡC
404,"00:50Tue, 1 Dec",Clear.,1023 mbar,17 km/h,5ʡC
405,01:50,Clear.,1023 mbar,17 km/h,5ʡC
406,02:50,Clear.,1023 mbar,13 km/h,4ʡC
407,03:50,Clear.,1024 mbar,13 km/h,4ʡC
408,04:50,Clear.,1024 mbar,13 km/h,4ʡC
409,05:50,Clear.,1024 mbar,11 km/h,3ʡC
410,06:50,Clear.,1025 mbar,7 km/h,2ʡC
411,07:50,Passing clouds.,1025 mbar,9 km/h,2ʡC
412,08:50,Sunny.,1026 mbar,11 km/h,3ʡC
413,09:50,Sunny.,1026 mbar,15 km/h,5ʡC
414,10:50,Scattered clouds.,1026 mbar,19 km/h,6ʡC
415,11:50,Passing clouds.,1026 mbar,17 km/h,7ʡC
416,12:50,Sunny.,1026 mbar,20 km/h,7ʡC
417,13:50,Passing clouds.,1025 mbar,19 km/h,8ʡC
418,14:50,Scattered clouds.,1025 mbar,15 km/h,7ʡC
419,15:50,Passing clouds.,1026 mbar,13 km/h,6ʡC
420,16:50,Passing clouds.,1026 mbar,6 km/h,4ʡC
421,18:50,Passing clouds.,1026 mbar,9 km/h,3ʡC
422,19:50,Passing clouds.,1026 mbar,7 km/h,2ʡC
423,20:50,Clear.,1026 mbar,4 km/h,3ʡC
424,21:50,Partly cloudy.,1026 mbar,7 km/h,3ʡC
425,22:50,Passing clouds.,1025 mbar,7 km/h,2ʡC
426,23:50,Passing clouds.,1025 mbar,7 km/h,1ʡC
