,Time,Temp,Weather,Wind,Humidity,Barometer,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1
24,4:20 pm,54 °F,Partly sunny.,9 mph,41%,"29.98 ""Hg",,,,,,,
25,4:50 pm,54 °F,Sunny.,9 mph,44%,"29.98 ""Hg",,,,,,,
26,5:21 pm,52 °F,Scattered showers. Partly sunny.,9 mph,47%,"29.98 ""Hg",,,,,,,
27,5:50 pm,54 °F,Sunny.,9 mph,41%,"30.01 ""Hg",,,,,,,
28,6:26 pm,52 °F,Sprinkles. Scattered clouds.,9 mph,50%,"30.01 ""Hg",,,,,,,
29,6:50 pm,52 °F,Sunny.,10 mph,50%,"30.01 ""Hg",,,,,,,
30,7:50 pm,50 °F,Sunny.,8 mph,50%,"30.04 ""Hg",,,,,,,
31,8:28 pm,50 °F,Clear.,6 mph,54%,"30.04 ""Hg",,,,,,,
32,8:50 pm,48 °F,Clear.,6 mph,58%,"30.04 ""Hg",,,,,,,
33,9:25 pm,46 °F,Clear.,7 mph,62%,"30.07 ""Hg",,,,,,,
34,9:50 pm,46 °F,Clear.,6 mph,62%,"30.07 ""Hg",,,,,,,
35,10:50 pm,45 °F,Passing clouds.,6 mph,71%,"30.07 ""Hg",,,,,,,
36,11:50 pm,41 °F,Clear.,3 mph,76%,"30.07 ""Hg",,,,,,,
37,"Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022",,,,,,,
38,"12:24 amFri, May 1",45 °F,Partly cloudy.,6 mph,93%,"29.42 ""Hg",0.0,,,,,,
39,12:50 am,45 °F,Partly cloudy.,7 mph,93%,"29.42 ""Hg",1.0,,,,,,
40,1:50 am,46 °F,Partly cloudy.,9 mph,87%,"29.42 ""Hg",2.0,,,,,,
41,2:50 am,46 °F,Partly cloudy.,8 mph,87%,"29.42 ""Hg",3.0,,,,,,
42,3:50 am,46 °F,Passing clouds.,10 mph,87%,"29.42 ""Hg",4.0,,,,,,
43,4:50 am,46 °F,Passing clouds.,9 mph,93%,"29.42 ""Hg",5.0,,,,,,
44,5:50 am,46 °F,Scattered clouds.,12 mph,87%,"29.42 ""Hg",6.0,,,,,,
45,6:50 am,48 °F,Partly sunny.,9 mph,87%,"29.42 ""Hg",7.0,,,,,,
46,7:50 am,50 °F,Partly sunny.,12 mph,88%,"29.45 ""Hg",8.0,,,,,,
47,8:50 am,52 °F,Broken clouds.,14 mph,77%,"29.45 ""Hg",9.0,,,,,,
48,9:20 am,52 °F,Partly sunny.,13 mph,77%,"29.45 ""Hg",10.0,,,,,,
49,9:50 am,54 °F,Scattered clouds.,14 mph,72%,"29.45 ""Hg",11.0,,,,,,
50,10:20 am,54 °F,Partly sunny.,13 mph,67%,"29.45 ""Hg",12.0,,,,,,
51,10:50 am,55 °F,Sprinkles. Broken clouds.,14 mph,67%,"29.47 ""Hg",13.0,,,,,,
52,11:34 am,55 °F,Rain showers. Broken clouds.,13 mph,63%,"29.47 ""Hg",14.0,,,,,,
53,11:50 am,50 °F,Broken clouds.,12 mph,76%,"29.47 ""Hg",15.0,,,,,,
54,12:20 pm,55 °F,Scattered clouds.,9 mph,72%,"29.47 ""Hg",16.0,,,,,,
55,12:50 pm,57 °F,Scattered showers. Scattered clouds.,9 mph,67%,"29.47 ""Hg",17.0,,,,,,
56,1:20 pm,57 °F,Scattered clouds.,15 mph,63%,"29.47 ""Hg",18.0,,,,,,
57,1:58 pm,57 °F,Thunderstorms. Broken clouds.,18 mph,55%,"29.50 ""Hg",19.0,,,,,,
58,2:20 pm,50 °F,Sprinkles. Broken clouds.,15 mph,82%,"29.50 ""Hg",20.0,,,,,,
59,2:50 pm,54 °F,Scattered clouds.,8 mph,77%,"29.50 ""Hg",21.0,,,,,,
60,3:50 pm,55 °F,Partly sunny.,16 mph,55%,"29.53 ""Hg",22.0,,,,,,
61,4:20 pm,57 °F,Scattered showers. Scattered clouds.,13 mph,55%,"29.53 ""Hg",23.0,,,,,,
62,4:50 pm,55 °F,Scattered clouds.,13 mph,55%,"29.53 ""Hg",24.0,,,,,,
63,5:20 pm,57 °F,Scattered clouds.,17 mph,48%,"29.53 ""Hg",25.0,,,,,,
64,5:50 pm,48 °F,Scattered showers. Scattered clouds.,17 mph,76%,"29.56 ""Hg",26.0,,,,,,
65,6:20 pm,52 °F,Partly sunny.,2 mph,72%,"29.56 ""Hg",27.0,,,,,,
66,6:50 pm,55 °F,Scattered clouds.,14 mph,59%,"29.56 ""Hg",28.0,,,,,,
67,7:50 pm,52 °F,Scattered clouds.,15 mph,62%,"29.59 ""Hg",29.0,,,,,,
68,8:50 pm,50 °F,Passing clouds.,16 mph,67%,"29.62 ""Hg",30.0,,,,,,
69,9:50 pm,48 °F,Clear.,10 mph,76%,"29.65 ""Hg",31.0,,,,,,
70,10:50 pm,48 °F,Passing clouds.,12 mph,76%,"29.65 ""Hg",32.0,,,,,,
71,11:50 pm,46 °F,Passing clouds.,8 mph,82%,"29.68 ""Hg",33.0,,,,,,
72,"Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022",34.0,,,,,,
73,"12:50 amTue, May 1",43 °F,Overcast.,8 mph,71%,"29.77 ""Hg",35.0,0.0,,,,,
74,1:50 am,41 °F,Overcast.,7 mph,76%,"29.80 ""Hg",36.0,1.0,,,,,
75,2:50 am,39 °F,Overcast.,6 mph,81%,"29.80 ""Hg",37.0,2.0,,,,,
76,3:50 am,37 °F,Passing clouds.,8 mph,87%,"29.80 ""Hg",38.0,3.0,,,,,
77,4:50 am,37 °F,Clear.,7 mph,81%,"29.80 ""Hg",39.0,4.0,,,,,
78,5:50 am,36 °F,Sunny.,2 mph,87%,"29.80 ""Hg",40.0,5.0,,,,,
79,6:50 am,37 °F,Sunny.,3 mph,81%,"29.83 ""Hg",41.0,6.0,,,,,
80,7:50 am,41 °F,Sunny.,5 mph,76%,"29.83 ""Hg",42.0,7.0,,,,,
81,8:50 am,46 °F,Sunny.,7 mph,62%,"29.83 ""Hg",43.0,8.0,,,,,
82,9:50 am,50 °F,Passing clouds.,9 mph,54%,"29.83 ""Hg",44.0,9.0,,,,,
83,10:50 am,54 °F,Passing clouds.,10 mph,47%,"29.83 ""Hg",45.0,10.0,,,,,
84,11:50 am,57 °F,Passing clouds.,12 mph,51%,"29.83 ""Hg",46.0,11.0,,,,,
85,12:50 pm,59 °F,Sunny.,13 mph,39%,"29.83 ""Hg",47.0,12.0,,,,,
86,1:50 pm,57 °F,Sunny.,15 mph,44%,"29.80 ""Hg",48.0,13.0,,,,,
87,2:50 pm,55 °F,Sprinkles. Broken clouds.,16 mph,51%,"29.80 ""Hg",49.0,14.0,,,,,
88,3:50 pm,55 °F,Broken clouds.,20 mph,51%,"29.80 ""Hg",50.0,15.0,,,,,
89,4:50 pm,50 °F,Partly sunny.,6 mph,82%,"29.80 ""Hg",51.0,16.0,,,,,
90,5:50 pm,54 °F,Partly sunny.,16 mph,54%,"29.77 ""Hg",52.0,17.0,,,,,
91,6:50 pm,52 °F,Scattered clouds.,14 mph,62%,"29.77 ""Hg",53.0,18.0,,,,,
92,7:50 pm,50 °F,Partly sunny.,10 mph,67%,"29.77 ""Hg",54.0,19.0,,,,,
93,8:50 pm,48 °F,Passing clouds.,9 mph,71%,"29.77 ""Hg",55.0,20.0,,,,,
94,9:50 pm,48 °F,Clear.,9 mph,71%,"29.77 ""Hg",56.0,21.0,,,,,
95,10:50 pm,48 °F,Passing clouds.,10 mph,71%,"29.77 ""Hg",57.0,22.0,,,,,
96,11:50 pm,48 °F,Partly cloudy.,9 mph,71%,"29.74 ""Hg",58.0,23.0,,,,,
97,"Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022",59.0,24.0,,,,,
98,"12:50 amSun, May 1",37 °F,Clear.,2 mph,81%,"30.33 ""Hg",60.0,25.0,0.0,,,,
99,1:50 am,36 °F,Clear.,No wind,87%,"30.33 ""Hg",61.0,26.0,1.0,,,,
100,2:50 am,34 °F,Clear.,No wind,93%,"30.33 ""Hg",62.0,27.0,2.0,,,,
101,3:50 am,32 °F,Clear.,2 mph,93%,"30.33 ""Hg",63.0,28.0,3.0,,,,
102,4:50 am,32 °F,Clear.,No wind,93%,"30.33 ""Hg",64.0,29.0,4.0,,,,
103,5:50 am,30 °F,Clear.,No wind,100%,"30.36 ""Hg",65.0,30.0,5.0,,,,
104,6:50 am,34 °F,Sunny.,1 mph,93%,"30.36 ""Hg",66.0,31.0,6.0,,,,
105,7:50 am,39 °F,Sunny.,2 mph,93%,"30.36 ""Hg",67.0,32.0,7.0,,,,
106,8:50 am,48 °F,Sunny.,5 mph,66%,"30.36 ""Hg",68.0,33.0,8.0,,,,
107,9:50 am,52 °F,Sunny.,7 mph,58%,"30.36 ""Hg",69.0,34.0,9.0,,,,
108,10:50 am,54 °F,Partly sunny.,9 mph,51%,"30.36 ""Hg",70.0,35.0,10.0,,,,
109,11:50 am,57 °F,Sunny.,10 mph,33%,"30.33 ""Hg",71.0,36.0,11.0,,,,
110,12:50 pm,59 °F,Sunny.,12 mph,34%,"30.33 ""Hg",72.0,37.0,12.0,,,,
111,1:50 pm,61 °F,Sunny.,10 mph,34%,"30.30 ""Hg",73.0,38.0,13.0,,,,
112,2:50 pm,61 °F,Sunny.,12 mph,36%,"30.30 ""Hg",74.0,39.0,14.0,,,,
113,3:50 pm,63 °F,Sunny.,13 mph,37%,"30.30 ""Hg",75.0,40.0,15.0,,,,
114,4:50 pm,61 °F,Broken clouds.,13 mph,42%,"30.30 ""Hg",76.0,41.0,16.0,,,,
115,5:50 pm,59 °F,Broken clouds.,13 mph,48%,"30.30 ""Hg",77.0,42.0,17.0,,,,
116,6:50 pm,55 °F,Sunny.,13 mph,59%,"30.30 ""Hg",78.0,43.0,18.0,,,,
117,7:50 pm,54 °F,Sunny.,10 mph,63%,"30.30 ""Hg",79.0,44.0,19.0,,,,
118,8:50 pm,54 °F,More clouds than sun.,9 mph,63%,"30.30 ""Hg",80.0,45.0,20.0,,,,
119,9:50 pm,52 °F,Overcast.,10 mph,72%,"30.30 ""Hg",81.0,46.0,21.0,,,,
120,10:50 pm,50 °F,Passing clouds.,10 mph,82%,"30.30 ""Hg",82.0,47.0,22.0,,,,
121,11:50 pm,50 °F,Passing clouds.,10 mph,88%,"30.27 ""Hg",83.0,48.0,23.0,,,,
122,"Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022",84.0,49.0,24.0,,,,
123,"12:50 amWed, Dec 1",52 °F,Passing clouds.,16 mph,88%,"29.42 ""Hg",85.0,50.0,25.0,0.0,,,
124,1:50 am,52 °F,Partly cloudy.,16 mph,88%,"29.39 ""Hg",86.0,51.0,26.0,1.0,,,
125,2:50 am,52 °F,Passing clouds.,17 mph,82%,"29.36 ""Hg",87.0,52.0,27.0,2.0,,,
126,3:50 am,50 °F,Partly cloudy.,15 mph,82%,"29.36 ""Hg",88.0,53.0,28.0,3.0,,,
127,4:50 am,50 °F,Partly cloudy.,15 mph,82%,"29.39 ""Hg",89.0,54.0,29.0,4.0,,,
128,5:50 am,50 °F,Passing clouds.,21 mph,71%,"29.39 ""Hg",90.0,55.0,30.0,5.0,,,
129,6:50 am,46 °F,Passing clouds.,16 mph,82%,"29.42 ""Hg",91.0,56.0,31.0,6.0,,,
130,7:20 am,46 °F,Partly cloudy.,17 mph,82%,"29.42 ""Hg",92.0,57.0,32.0,7.0,,,
131,7:50 am,46 °F,Drizzle. Partly sunny.,15 mph,82%,"29.45 ""Hg",93.0,58.0,33.0,8.0,,,
132,8:20 am,46 °F,Drizzle. Partly sunny.,13 mph,82%,"29.45 ""Hg",94.0,59.0,34.0,9.0,,,
133,8:50 am,46 °F,Broken clouds.,12 mph,87%,"29.45 ""Hg",95.0,60.0,35.0,10.0,,,
134,9:19 am,46 °F,Broken clouds.,13 mph,82%,"29.45 ""Hg",96.0,61.0,36.0,11.0,,,
135,9:50 am,46 °F,Scattered clouds.,14 mph,82%,"29.45 ""Hg",97.0,62.0,37.0,12.0,,,
136,10:20 am,48 °F,Passing clouds.,17 mph,71%,"29.45 ""Hg",98.0,63.0,38.0,13.0,,,
137,10:50 am,50 °F,Passing clouds.,15 mph,71%,"29.45 ""Hg",99.0,64.0,39.0,14.0,,,
138,11:20 am,48 °F,Passing clouds.,17 mph,66%,"29.45 ""Hg",100.0,65.0,40.0,15.0,,,
139,11:50 am,48 °F,Passing clouds.,14 mph,71%,"29.45 ""Hg",101.0,66.0,41.0,16.0,,,
140,12:22 pm,50 °F,Scattered clouds.,20 mph,62%,"29.45 ""Hg",102.0,67.0,42.0,17.0,,,
141,12:50 pm,48 °F,Scattered clouds.,16 mph,66%,"29.45 ""Hg",103.0,68.0,43.0,18.0,,,
142,1:20 pm,46 °F,Passing clouds.,17 mph,76%,"29.45 ""Hg",104.0,69.0,44.0,19.0,,,
143,1:50 pm,48 °F,Scattered clouds.,13 mph,71%,"29.45 ""Hg",105.0,70.0,45.0,20.0,,,
144,2:20 pm,48 °F,Scattered showers. Broken clouds.,15 mph,71%,"29.45 ""Hg",106.0,71.0,46.0,21.0,,,
145,2:50 pm,46 °F,Passing clouds.,10 mph,71%,"29.47 ""Hg",107.0,72.0,47.0,22.0,,,
146,3:20 pm,46 °F,Scattered showers. Passing clouds.,9 mph,71%,"29.47 ""Hg",108.0,73.0,48.0,23.0,,,
147,3:50 pm,46 °F,Broken clouds.,12 mph,76%,"29.47 ""Hg",109.0,74.0,49.0,24.0,,,
148,4:20 pm,45 °F,Sprinkles. Partly cloudy.,13 mph,81%,"29.50 ""Hg",110.0,75.0,50.0,25.0,,,
149,4:50 pm,45 °F,Partly cloudy.,10 mph,81%,"29.50 ""Hg",111.0,76.0,51.0,26.0,,,
150,5:20 pm,43 °F,Passing clouds.,10 mph,87%,"29.53 ""Hg",112.0,77.0,52.0,27.0,,,
151,5:50 pm,43 °F,Partly cloudy.,9 mph,81%,"29.56 ""Hg",113.0,78.0,53.0,28.0,,,
152,6:20 pm,43 °F,Partly cloudy.,12 mph,81%,"29.59 ""Hg",114.0,79.0,54.0,29.0,,,
153,6:50 pm,43 °F,Partly cloudy.,10 mph,81%,"29.59 ""Hg",115.0,80.0,55.0,30.0,,,
154,7:20 pm,43 °F,Passing clouds.,12 mph,81%,"29.62 ""Hg",116.0,81.0,56.0,31.0,,,
155,8:20 pm,41 °F,Passing clouds.,15 mph,76%,"29.68 ""Hg",117.0,82.0,57.0,32.0,,,
156,8:50 pm,41 °F,Passing clouds.,12 mph,76%,"29.68 ""Hg",118.0,83.0,58.0,33.0,,,
157,10:20 pm,37 °F,Clear.,10 mph,81%,"29.71 ""Hg",119.0,84.0,59.0,34.0,,,
158,10:50 pm,37 °F,Clear.,12 mph,75%,"29.74 ""Hg",120.0,85.0,60.0,35.0,,,
159,11:50 pm,36 °F,Chilly.,10 mph,75%,"29.74 ""Hg",121.0,86.0,61.0,36.0,,,
160,"Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022",122.0,87.0,62.0,37.0,,,
161,"12:50 amTue, Dec 1",41 °F,Clear.,10 mph,81%,"30.21 ""Hg",123.0,88.0,63.0,38.0,0.0,,
162,1:50 am,41 °F,Clear.,10 mph,76%,"30.21 ""Hg",124.0,89.0,64.0,39.0,1.0,,
163,2:50 am,39 °F,Clear.,8 mph,81%,"30.21 ""Hg",125.0,90.0,65.0,40.0,2.0,,
164,3:50 am,39 °F,Clear.,8 mph,81%,"30.24 ""Hg",126.0,91.0,66.0,41.0,3.0,,
165,4:50 am,39 °F,Clear.,8 mph,81%,"30.24 ""Hg",127.0,92.0,67.0,42.0,4.0,,
166,5:50 am,37 °F,Clear.,7 mph,87%,"30.24 ""Hg",128.0,93.0,68.0,43.0,5.0,,
167,6:50 am,36 °F,Clear.,5 mph,93%,"30.27 ""Hg",129.0,94.0,69.0,44.0,6.0,,
168,7:50 am,36 °F,Passing clouds.,6 mph,93%,"30.27 ""Hg",130.0,95.0,70.0,45.0,7.0,,
169,8:50 am,37 °F,Sunny.,7 mph,87%,"30.30 ""Hg",131.0,96.0,71.0,46.0,8.0,,
170,9:50 am,41 °F,Sunny.,9 mph,81%,"30.30 ""Hg",132.0,97.0,72.0,47.0,9.0,,
171,10:50 am,43 °F,Scattered clouds.,12 mph,81%,"30.30 ""Hg",133.0,98.0,73.0,48.0,10.0,,
172,11:50 am,45 °F,Passing clouds.,10 mph,76%,"30.30 ""Hg",134.0,99.0,74.0,49.0,11.0,,
173,12:50 pm,45 °F,Sunny.,13 mph,76%,"30.30 ""Hg",135.0,100.0,75.0,50.0,12.0,,
174,1:50 pm,46 °F,Passing clouds.,12 mph,71%,"30.27 ""Hg",136.0,101.0,76.0,51.0,13.0,,
175,2:50 pm,45 °F,Scattered clouds.,9 mph,76%,"30.27 ""Hg",137.0,102.0,77.0,52.0,14.0,,
176,3:50 pm,43 °F,Passing clouds.,8 mph,76%,"30.30 ""Hg",138.0,103.0,78.0,53.0,15.0,,
177,4:50 pm,39 °F,Passing clouds.,3 mph,87%,"30.30 ""Hg",139.0,104.0,79.0,54.0,16.0,,
178,6:50 pm,37 °F,Passing clouds.,6 mph,87%,"30.30 ""Hg",140.0,105.0,80.0,55.0,17.0,,
179,7:50 pm,36 °F,Passing clouds.,5 mph,93%,"30.30 ""Hg",141.0,106.0,81.0,56.0,18.0,,
180,8:50 pm,37 °F,Clear.,2 mph,93%,"30.30 ""Hg",142.0,107.0,82.0,57.0,19.0,,
181,9:50 pm,37 °F,Partly cloudy.,5 mph,87%,"30.30 ""Hg",143.0,108.0,83.0,58.0,20.0,,
182,10:50 pm,36 °F,Passing clouds.,5 mph,87%,"30.27 ""Hg",144.0,109.0,84.0,59.0,21.0,,
183,11:50 pm,34 °F,Passing clouds.,5 mph,100%,"30.27 ""Hg",145.0,110.0,85.0,60.0,22.0,,
184,"Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022",146.0,111.0,86.0,61.0,23.0,,
185,"12:50 amSat, Dec 1",43 °F,Partly cloudy.,6 mph,87%,"29.83 ""Hg",147.0,112.0,87.0,62.0,24.0,0.0,
186,1:50 am,43 °F,Passing clouds.,6 mph,93%,"29.83 ""Hg",148.0,113.0,88.0,63.0,25.0,1.0,
187,2:50 am,45 °F,Passing clouds.,6 mph,87%,"29.80 ""Hg",149.0,114.0,89.0,64.0,26.0,2.0,
188,3:50 am,46 °F,Mostly cloudy.,7 mph,87%,"29.77 ""Hg",150.0,115.0,90.0,65.0,27.0,3.0,
189,4:50 am,46 °F,Partly cloudy.,3 mph,87%,"29.74 ""Hg",151.0,116.0,91.0,66.0,28.0,4.0,
190,5:50 am,46 °F,Passing clouds.,6 mph,93%,"29.74 ""Hg",152.0,117.0,92.0,67.0,29.0,5.0,
191,6:50 am,48 °F,Light rain. Passing clouds.,6 mph,94%,"29.71 ""Hg",153.0,118.0,93.0,68.0,30.0,6.0,
192,7:50 am,48 °F,Rain. Mostly cloudy.,8 mph,94%,"29.68 ""Hg",154.0,119.0,94.0,69.0,31.0,7.0,
193,8:50 am,48 °F,Rain. Mostly cloudy.,12 mph,100%,"29.65 ""Hg",155.0,120.0,95.0,70.0,32.0,8.0,
194,9:50 am,50 °F,Light rain. Mostly cloudy.,15 mph,94%,"29.62 ""Hg",156.0,121.0,96.0,71.0,33.0,9.0,
195,10:25 am,50 °F,Drizzle. Mostly cloudy.,13 mph,94%,"29.59 ""Hg",157.0,122.0,97.0,72.0,34.0,10.0,
196,10:50 am,50 °F,Drizzle. Mostly cloudy.,14 mph,100%,"29.59 ""Hg",158.0,123.0,98.0,73.0,35.0,11.0,
197,11:05 am,52 °F,Mostly cloudy.,14 mph,94%,"29.56 ""Hg",159.0,124.0,99.0,74.0,36.0,12.0,
198,11:50 am,52 °F,Drizzle. Mostly cloudy.,9 mph,94%,"29.53 ""Hg",160.0,125.0,100.0,75.0,37.0,13.0,
199,12:50 pm,54 °F,Drizzle. Broken clouds.,14 mph,94%,"29.50 ""Hg",161.0,126.0,101.0,76.0,38.0,14.0,
200,1:50 pm,54 °F,Drizzle. Mostly cloudy.,10 mph,100%,"29.50 ""Hg",162.0,127.0,102.0,77.0,39.0,15.0,
201,2:33 pm,55 °F,Drizzle. Partly sunny.,12 mph,94%,"29.50 ""Hg",163.0,128.0,103.0,78.0,40.0,16.0,
202,2:50 pm,55 °F,Broken clouds.,12 mph,94%,"29.47 ""Hg",164.0,129.0,104.0,79.0,41.0,17.0,
203,3:50 pm,54 °F,Partly sunny.,10 mph,94%,"29.50 ""Hg",165.0,130.0,105.0,80.0,42.0,18.0,
204,4:21 pm,54 °F,Passing clouds.,9 mph,94%,"29.50 ""Hg",166.0,131.0,106.0,81.0,43.0,19.0,
205,4:50 pm,54 °F,Partly cloudy.,10 mph,94%,"29.50 ""Hg",167.0,132.0,107.0,82.0,44.0,20.0,
206,5:50 pm,54 °F,Passing clouds.,9 mph,88%,"29.47 ""Hg",168.0,133.0,108.0,83.0,45.0,21.0,
207,6:50 pm,54 °F,Passing clouds.,10 mph,88%,"29.50 ""Hg",169.0,134.0,109.0,84.0,46.0,22.0,
208,7:50 pm,54 °F,Partly cloudy.,8 mph,88%,"29.47 ""Hg",170.0,135.0,110.0,85.0,47.0,23.0,
209,8:50 pm,54 °F,Passing clouds.,9 mph,88%,"29.47 ""Hg",171.0,136.0,111.0,86.0,48.0,24.0,
210,9:50 pm,54 °F,Overcast.,9 mph,82%,"29.47 ""Hg",172.0,137.0,112.0,87.0,49.0,25.0,
211,10:50 pm,52 °F,Partly cloudy.,8 mph,94%,"29.45 ""Hg",173.0,138.0,113.0,88.0,50.0,26.0,
212,11:50 pm,52 °F,Passing clouds.,5 mph,94%,"29.42 ""Hg",174.0,139.0,114.0,89.0,51.0,27.0,
213,"Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022","Weather by CustomWeather, © 2022",175.0,140.0,115.0,90.0,52.0,28.0,
214,"12:50 amThu, Dec 1",27 °F,Clear.,1 mph,86%,"30.51 ""Hg",176.0,141.0,116.0,91.0,53.0,29.0,0.0
215,1:50 am,27 °F,Clear.,1 mph,93%,"30.48 ""Hg",177.0,142.0,117.0,92.0,54.0,30.0,1.0
216,2:50 am,27 °F,Clear.,1 mph,93%,"30.48 ""Hg",178.0,143.0,118.0,93.0,55.0,31.0,2.0
217,3:50 am,25 °F,Clear.,1 mph,93%,"30.48 ""Hg",179.0,144.0,119.0,94.0,56.0,32.0,3.0
218,4:50 am,25 °F,Clear.,1 mph,93%,"30.45 ""Hg",180.0,145.0,120.0,95.0,57.0,33.0,4.0
219,5:50 am,27 °F,Clear.,1 mph,80%,"30.45 ""Hg",181.0,146.0,121.0,96.0,58.0,34.0,5.0
220,6:50 am,27 °F,Clear.,1 mph,86%,"30.45 ""Hg",182.0,147.0,122.0,97.0,59.0,35.0,6.0
221,7:50 am,25 °F,Sunny.,2 mph,86%,"30.45 ""Hg",183.0,148.0,123.0,98.0,60.0,36.0,7.0
222,8:50 am,28 °F,Scattered clouds.,3 mph,86%,"30.45 ""Hg",184.0,149.0,124.0,99.0,61.0,37.0,8.0
223,9:50 am,34 °F,Partly sunny.,5 mph,87%,"30.45 ""Hg",185.0,150.0,125.0,100.0,62.0,38.0,9.0
224,10:50 am,39 °F,Partly sunny.,3 mph,81%,"30.45 ""Hg",186.0,151.0,126.0,101.0,63.0,39.0,10.0
225,11:50 am,43 °F,Passing clouds.,3 mph,71%,"30.42 ""Hg",187.0,152.0,127.0,102.0,64.0,40.0,11.0
226,12:50 pm,45 °F,Passing clouds.,3 mph,66%,"30.42 ""Hg",188.0,153.0,128.0,103.0,65.0,41.0,12.0
227,1:50 pm,48 °F,Passing clouds.,3 mph,62%,"30.39 ""Hg",189.0,154.0,129.0,104.0,66.0,42.0,13.0
228,2:50 pm,46 °F,Sunny.,7 mph,71%,"30.39 ""Hg",190.0,155.0,130.0,105.0,67.0,43.0,14.0
229,3:50 pm,43 °F,Sunny.,7 mph,81%,"30.39 ""Hg",191.0,156.0,131.0,106.0,68.0,44.0,15.0
230,4:50 pm,41 °F,Clear.,7 mph,81%,"30.39 ""Hg",192.0,157.0,132.0,107.0,69.0,45.0,16.0
