,time,weather,Humidity,wind,temp,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1
67,1:50 am,Low clouds.,"30.51 ""Hg",9 mph,39ʡF,,,,,,,
68,2:50 am,Low clouds.,"30.51 ""Hg",9 mph,39ʡF,,,,,,,
69,3:50 am,Low clouds.,"30.48 ""Hg",7 mph,39ʡF,,,,,,,
70,4:50 am,Low clouds.,"30.48 ""Hg",9 mph,39ʡF,,,,,,,
71,5:50 am,Low clouds.,"30.48 ""Hg",9 mph,41ʡF,,,,,,,
72,6:50 am,Fog.,"30.48 ""Hg",10 mph,41ʡF,,,,,,,
73,7:20 am,Low clouds.,"30.48 ""Hg",9 mph,41ʡF,,,,,,,
74,8:21 am,Low clouds.,"30.48 ""Hg",10 mph,43ʡF,,,,,,,
75,8:50 am,Low clouds.,"30.48 ""Hg",12 mph,43ʡF,,,,,,,
76,9:21 am,Partly sunny.,"30.48 ""Hg",12 mph,43ʡF,,,,,,,
77,9:50 am,Partly sunny.,"30.48 ""Hg",12 mph,45ʡF,,,,,,,
78,10:20 am,Partly sunny.,"30.48 ""Hg",12 mph,45ʡF,,,,,,,
79,10:50 am,Partly sunny.,"30.48 ""Hg",13 mph,46ʡF,,,,,,,
80,11:20 am,Partly sunny.,"30.48 ""Hg",13 mph,46ʡF,,,,,,,
81,11:50 am,Scattered clouds.,"30.48 ""Hg",12 mph,48ʡF,,,,,,,
82,12:20 pm,Haze.,"30.45 ""Hg",12 mph,48ʡF,,,,,,,
83,12:50 pm,Haze.,"30.45 ""Hg",12 mph,48ʡF,,,,,,,
84,1:50 pm,Haze.,"30.45 ""Hg",13 mph,48ʡF,,,,,,,
85,2:50 pm,Passing clouds.,"30.42 ""Hg",13 mph,48ʡF,,,,,,,
86,3:20 pm,Passing clouds.,"30.42 ""Hg",13 mph,48ʡF,,,,,,,
87,3:50 pm,Passing clouds.,"30.42 ""Hg",12 mph,48ʡF,,,,,,,
88,4:20 pm,Passing clouds.,"30.42 ""Hg",12 mph,46ʡF,,,,,,,
89,4:50 pm,Passing clouds.,"30.42 ""Hg",12 mph,46ʡF,,,,,,,
90,5:20 pm,Passing clouds.,"30.42 ""Hg",8 mph,45ʡF,,,,,,,
91,5:50 pm,Passing clouds.,"30.42 ""Hg",9 mph,43ʡF,,,,,,,
92,6:20 pm,Passing clouds.,"30.42 ""Hg",12 mph,41ʡF,,,,,,,
93,6:50 pm,Passing clouds.,"30.42 ""Hg",13 mph,41ʡF,,,,,,,
94,7:50 pm,Passing clouds.,"30.42 ""Hg",13 mph,39ʡF,,,,,,,
95,8:50 pm,Passing clouds.,"30.42 ""Hg",10 mph,39ʡF,,,,,,,
96,9:50 pm,Overcast.,"30.45 ""Hg",10 mph,39ʡF,,,,,,,
97,10:50 pm,Overcast.,"30.42 ""Hg",7 mph,39ʡF,,,,,,,
98,11:50 pm,Overcast.,"30.42 ""Hg",9 mph,39ʡF,,,,,,,
99,"12:50 amThu, Apr 1",Overcast.,"30.12 ""Hg",2 mph,52ʡF,,,,,,,
100,1:50 am,Overcast.,"30.12 ""Hg",2 mph,52ʡF,,,,,,,
101,2:50 am,Passing clouds.,"30.12 ""Hg",7 mph,54ʡF,,,,,,,
102,3:50 am,Clear.,"30.15 ""Hg",15 mph,50ʡF,,,,,,,
103,4:50 am,Passing clouds.,"30.15 ""Hg",14 mph,48ʡF,,,,,,,
104,5:50 am,Passing clouds.,"30.18 ""Hg",12 mph,46ʡF,,,,,,,
105,6:20 am,Low clouds.,"30.18 ""Hg",13 mph,46ʡF,,,,,,,
106,6:50 am,Low clouds.,"30.21 ""Hg",12 mph,46ʡF,,,,,,,
107,7:21 am,Low clouds.,"30.21 ""Hg",13 mph,46ʡF,,,,,,,
108,7:50 am,Low clouds.,"30.21 ""Hg",13 mph,46ʡF,,,,,,,
109,8:22 am,Partly sunny.,"30.24 ""Hg",12 mph,46ʡF,,,,,,,
110,8:50 am,Partly sunny.,"30.24 ""Hg",14 mph,48ʡF,,,,,,,
111,9:21 am,Partly sunny.,"30.24 ""Hg",14 mph,48ʡF,,,,,,,
112,9:50 am,Partly sunny.,"30.24 ""Hg",13 mph,50ʡF,,,,,,,
113,10:50 am,Partly sunny.,"30.27 ""Hg",15 mph,52ʡF,,,,,,,
114,11:20 am,Scattered clouds.,"30.27 ""Hg",13 mph,52ʡF,,,,,,,
115,11:50 am,Passing clouds.,"30.27 ""Hg",15 mph,54ʡF,,,,,,,
116,12:20 pm,Passing clouds.,"30.27 ""Hg",16 mph,54ʡF,,,,,,,
117,12:50 pm,Scattered clouds.,"30.27 ""Hg",15 mph,55ʡF,,,,,,,
118,1:21 pm,Sunny.,"30.27 ""Hg",15 mph,55ʡF,,,,,,,
119,1:50 pm,Sunny.,"30.27 ""Hg",16 mph,57ʡF,,,,,,,
120,2:20 pm,Sunny.,"30.27 ""Hg",16 mph,57ʡF,,,,,,,
121,2:50 pm,Passing clouds.,"30.27 ""Hg",15 mph,59ʡF,,,,,,,
122,3:20 pm,Scattered clouds.,"30.27 ""Hg",16 mph,59ʡF,,,,,,,
123,3:50 pm,Passing clouds.,"30.27 ""Hg",17 mph,57ʡF,,,,,,,
124,4:20 pm,Scattered clouds.,"30.27 ""Hg",17 mph,57ʡF,,,,,,,
125,4:50 pm,Scattered clouds.,"30.27 ""Hg",15 mph,55ʡF,,,,,,,
126,5:20 pm,Scattered clouds.,"30.27 ""Hg",17 mph,54ʡF,,,,,,,
127,5:50 pm,Passing clouds.,"30.30 ""Hg",16 mph,52ʡF,,,,,,,
128,6:20 pm,Scattered clouds.,"30.30 ""Hg",15 mph,52ʡF,,,,,,,
129,6:50 pm,Scattered clouds.,"30.30 ""Hg",16 mph,50ʡF,,,,,,,
130,7:20 pm,Scattered clouds.,"30.30 ""Hg",15 mph,50ʡF,,,,,,,
131,7:50 pm,Passing clouds.,"30.30 ""Hg",17 mph,48ʡF,,,,,,,
132,8:20 pm,Passing clouds.,"30.33 ""Hg",15 mph,48ʡF,,,,,,,
133,8:50 pm,Passing clouds.,"30.33 ""Hg",14 mph,46ʡF,,,,,,,
134,9:50 pm,Passing clouds.,"30.36 ""Hg",15 mph,45ʡF,,,,,,,
135,10:50 pm,Passing clouds.,"30.36 ""Hg",13 mph,43ʡF,,,,,,,
136,11:50 pm,Passing clouds.,"30.36 ""Hg",16 mph,43ʡF,,,,,,,
137,"12:50 amSat, May 1",Overcast.,"29.98 ""Hg",5 mph,39ʡF,,,,,,,
138,1:50 am,Passing clouds.,"29.98 ""Hg",5 mph,37ʡF,,,,,,,
139,2:50 am,Clear.,"29.98 ""Hg",3 mph,37ʡF,,,,,,,
140,3:50 am,Clear.,"29.98 ""Hg",2 mph,36ʡF,,,,,,,
141,4:50 am,Clear.,"29.98 ""Hg",2 mph,36ʡF,,,,,,,
142,5:50 am,Passing clouds.,"29.98 ""Hg",3 mph,36ʡF,,,,,,,
143,6:50 am,Sunny.,"30.01 ""Hg",5 mph,39ʡF,,,,,,,
144,7:20 am,Sunny.,"30.01 ""Hg",6 mph,41ʡF,,,,,,,
145,7:50 am,Scattered clouds.,"30.01 ""Hg",5 mph,41ʡF,,,,,,,
146,8:20 am,Passing clouds.,"30.01 ""Hg",7 mph,43ʡF,,,,,,,
147,8:50 am,Passing clouds.,"30.01 ""Hg",8 mph,45ʡF,,,,,,,
148,9:20 am,Passing clouds.,"30.01 ""Hg",8 mph,46ʡF,,,,,,,
149,9:50 am,Passing clouds.,"30.01 ""Hg",6 mph,48ʡF,,,,,,,
150,10:20 am,Scattered clouds.,"30.01 ""Hg",7 mph,50ʡF,,,,,,,
151,10:50 am,Scattered clouds.,"30.01 ""Hg",7 mph,50ʡF,,,,,,,
152,11:20 am,Partly sunny.,"30.01 ""Hg",7 mph,50ʡF,,,,,,,
153,11:50 am,Partly sunny.,"30.01 ""Hg",8 mph,50ʡF,,,,,,,
154,12:25 pm,Scattered clouds.,"30.01 ""Hg",10 mph,52ʡF,,,,,,,
155,12:50 pm,Scattered showers. Passing clouds.,"30.01 ""Hg",7 mph,54ʡF,,,,,,,
156,1:24 pm,Scattered clouds.,"30.01 ""Hg",10 mph,52ʡF,,,,,,,
157,1:50 pm,Scattered showers. Passing clouds.,"30.01 ""Hg",13 mph,52ʡF,,,,,,,
158,2:22 pm,Scattered clouds.,"29.98 ""Hg",10 mph,52ʡF,,,,,,,
159,2:50 pm,Scattered showers. Scattered clouds.,"29.98 ""Hg",14 mph,54ʡF,,,,,,,
160,3:50 pm,Scattered showers. Broken clouds.,"29.98 ""Hg",9 mph,54ʡF,,,,,,,
161,4:20 pm,Partly sunny.,"29.98 ""Hg",9 mph,54ʡF,,,,,,,
162,4:50 pm,Sunny.,"29.98 ""Hg",9 mph,54ʡF,,,,,,,
163,5:21 pm,Scattered showers. Partly sunny.,"29.98 ""Hg",9 mph,52ʡF,,,,,,,
164,5:50 pm,Sunny.,"30.01 ""Hg",9 mph,54ʡF,,,,,,,
165,6:26 pm,Sprinkles. Scattered clouds.,"30.01 ""Hg",9 mph,52ʡF,,,,,,,
166,6:50 pm,Sunny.,"30.01 ""Hg",10 mph,52ʡF,,,,,,,
167,7:50 pm,Sunny.,"30.04 ""Hg",8 mph,50ʡF,,,,,,,
168,8:28 pm,Clear.,"30.04 ""Hg",6 mph,50ʡF,,,,,,,
169,8:50 pm,Clear.,"30.04 ""Hg",6 mph,48ʡF,,,,,,,
170,9:25 pm,Clear.,"30.07 ""Hg",7 mph,46ʡF,,,,,,,
171,9:50 pm,Clear.,"30.07 ""Hg",6 mph,46ʡF,,,,,,,
172,10:50 pm,Passing clouds.,"30.07 ""Hg",6 mph,45ʡF,,,,,,,
173,11:50 pm,Clear.,"30.07 ""Hg",3 mph,41ʡF,,,,,,,
174,"12:50 amTue, Jan 1",Overcast.,"30.54 ""Hg",8 mph,48ʡF,0.0,,,,,,
175,1:50 am,Overcast.,"30.54 ""Hg",9 mph,48ʡF,1.0,,,,,,
176,2:50 am,Overcast.,"30.54 ""Hg",8 mph,48ʡF,2.0,,,,,,
177,3:50 am,Overcast.,"30.54 ""Hg",8 mph,48ʡF,3.0,,,,,,
178,4:50 am,Passing clouds.,"30.51 ""Hg",7 mph,46ʡF,4.0,,,,,,
179,5:50 am,Clear.,"30.51 ""Hg",5 mph,43ʡF,5.0,,,,,,
180,6:50 am,Passing clouds.,"30.51 ""Hg",6 mph,45ʡF,6.0,,,,,,
181,7:50 am,Passing clouds.,"30.54 ""Hg",8 mph,45ʡF,7.0,,,,,,
182,8:50 am,Partly sunny.,"30.54 ""Hg",6 mph,45ʡF,8.0,,,,,,
183,9:50 am,Partly sunny.,"30.54 ""Hg",6 mph,48ʡF,9.0,,,,,,
184,10:50 am,Partly sunny.,"30.54 ""Hg",10 mph,50ʡF,10.0,,,,,,
185,11:50 am,Partly sunny.,"30.54 ""Hg",9 mph,50ʡF,11.0,,,,,,
186,12:50 pm,Partly sunny.,"30.54 ""Hg",13 mph,50ʡF,12.0,,,,,,
187,1:50 pm,Partly sunny.,"30.54 ""Hg",12 mph,50ʡF,13.0,,,,,,
188,2:50 pm,Broken clouds.,"30.54 ""Hg",10 mph,50ʡF,14.0,,,,,,
189,3:50 pm,Partly sunny.,"30.57 ""Hg",9 mph,48ʡF,15.0,,,,,,
190,4:50 pm,Passing clouds.,"30.60 ""Hg",9 mph,48ʡF,16.0,,,,,,
191,5:50 pm,Passing clouds.,"30.63 ""Hg",6 mph,46ʡF,17.0,,,,,,
192,6:50 pm,Overcast.,"30.63 ""Hg",5 mph,45ʡF,18.0,,,,,,
193,7:50 pm,Overcast.,"30.66 ""Hg",12 mph,46ʡF,19.0,,,,,,
194,8:50 pm,Partly cloudy.,"30.69 ""Hg",12 mph,45ʡF,20.0,,,,,,
195,9:50 pm,Overcast.,"30.69 ""Hg",10 mph,43ʡF,21.0,,,,,,
196,10:50 pm,Passing clouds.,"30.72 ""Hg",7 mph,41ʡF,22.0,,,,,,
197,11:50 pm,Clear.,"30.72 ""Hg",7 mph,39ʡF,23.0,,,,,,
198,"12:50 amWed, Jan 1",Clear.,"30.42 ""Hg",5 mph,37ʡF,24.0,,,,,,
199,1:50 am,Passing clouds.,"30.42 ""Hg",3 mph,37ʡF,25.0,,,,,,
200,2:50 am,Overcast.,"30.39 ""Hg",6 mph,41ʡF,26.0,,,,,,
201,3:50 am,Low clouds.,"30.39 ""Hg",7 mph,41ʡF,27.0,,,,,,
202,4:50 am,Low clouds.,"30.39 ""Hg",6 mph,41ʡF,28.0,,,,,,
203,5:50 am,Overcast.,"30.39 ""Hg",7 mph,39ʡF,29.0,,,,,,
204,6:50 am,Overcast.,"30.39 ""Hg",2 mph,39ʡF,30.0,,,,,,
205,7:36 am,Passing clouds.,"30.39 ""Hg",2 mph,37ʡF,31.0,,,,,,
206,7:50 am,Passing clouds.,"30.39 ""Hg",1 mph,37ʡF,32.0,,,,,,
207,8:20 am,Partly sunny.,"30.39 ""Hg",1 mph,36ʡF,33.0,,,,,,
208,9:22 am,Fog.,"30.42 ""Hg",3 mph,39ʡF,34.0,,,,,,
209,9:50 am,Partly sunny.,"30.39 ""Hg",2 mph,41ʡF,35.0,,,,,,
210,10:20 am,Partly sunny.,"30.42 ""Hg",1 mph,41ʡF,36.0,,,,,,
211,10:50 am,Partly sunny.,"30.42 ""Hg",1 mph,41ʡF,37.0,,,,,,
212,11:20 am,Overcast.,"30.39 ""Hg",2 mph,41ʡF,38.0,,,,,,
213,11:50 am,Overcast.,"30.39 ""Hg",1 mph,43ʡF,39.0,,,,,,
214,12:20 pm,Overcast.,"30.39 ""Hg",1 mph,43ʡF,40.0,,,,,,
215,12:50 pm,Low clouds.,"30.39 ""Hg",1 mph,43ʡF,41.0,,,,,,
216,1:20 pm,Overcast.,"30.36 ""Hg",3 mph,43ʡF,42.0,,,,,,
217,1:50 pm,Overcast.,"30.36 ""Hg",1 mph,43ʡF,43.0,,,,,,
218,2:20 pm,Overcast.,"30.36 ""Hg",1 mph,43ʡF,44.0,,,,,,
219,2:50 pm,Overcast.,"30.36 ""Hg",1 mph,43ʡF,45.0,,,,,,
220,3:19 pm,Overcast.,"30.36 ""Hg",1 mph,43ʡF,46.0,,,,,,
221,3:50 pm,Overcast.,"30.36 ""Hg",1 mph,43ʡF,47.0,,,,,,
222,4:20 pm,Overcast.,"30.36 ""Hg",1 mph,43ʡF,48.0,,,,,,
223,4:50 pm,Overcast.,"30.36 ""Hg",2 mph,43ʡF,49.0,,,,,,
224,5:20 pm,Overcast.,"30.36 ""Hg",2 mph,43ʡF,50.0,,,,,,
225,5:50 pm,Overcast.,"30.36 ""Hg",3 mph,43ʡF,51.0,,,,,,
226,6:50 pm,Overcast.,"30.36 ""Hg",3 mph,43ʡF,52.0,,,,,,
227,7:50 pm,Low clouds.,"30.36 ""Hg",3 mph,43ʡF,53.0,,,,,,
228,8:50 pm,Low clouds.,"30.33 ""Hg",3 mph,43ʡF,54.0,,,,,,
229,9:50 pm,Passing clouds.,"30.33 ""Hg",5 mph,45ʡF,55.0,,,,,,
230,10:50 pm,Low clouds.,"30.33 ""Hg",5 mph,45ʡF,56.0,,,,,,
231,11:50 pm,Low clouds.,"30.30 ""Hg",5 mph,45ʡF,57.0,,,,,,
232,"12:50 amFri, Feb 1",Passing clouds.,"29.06 ""Hg",9 mph,32ʡF,58.0,,,,,,
233,1:50 am,Partly cloudy.,"29.03 ""Hg",17 mph,34ʡF,59.0,,,,,,
234,2:50 am,Partly cloudy.,"29.03 ""Hg",15 mph,34ʡF,60.0,,,,,,
235,3:50 am,Passing clouds.,"29.03 ""Hg",16 mph,34ʡF,61.0,,,,,,
236,4:50 am,Passing clouds.,"29.03 ""Hg",20 mph,34ʡF,62.0,,,,,,
237,5:50 am,Passing clouds.,"29.03 ""Hg",17 mph,34ʡF,63.0,,,,,,
238,6:50 am,Light snow. Low clouds.,"29.06 ""Hg",18 mph,34ʡF,64.0,,,,,,
239,7:50 am,Light snow. Low clouds.,"29.06 ""Hg",17 mph,34ʡF,65.0,,,,,,
240,8:50 am,Partly sunny.,"29.09 ""Hg",17 mph,34ʡF,66.0,,,,,,
241,9:50 am,Mostly cloudy.,"29.12 ""Hg",16 mph,36ʡF,67.0,,,,,,
242,10:50 am,Light rain. Mostly cloudy.,"29.15 ""Hg",14 mph,36ʡF,68.0,,,,,,
243,11:50 am,Light rain. Mostly cloudy.,"29.15 ""Hg",15 mph,36ʡF,69.0,,,,,,
244,12:50 pm,Partly sunny.,"29.15 ""Hg",15 mph,36ʡF,70.0,,,,,,
245,1:50 pm,Snow flurries. Partly sunny.,"29.18 ""Hg",16 mph,36ʡF,71.0,,,,,,
246,2:50 pm,Light rain. Broken clouds.,"29.18 ""Hg",15 mph,36ʡF,72.0,,,,,,
247,3:50 pm,Light rain. Broken clouds.,"29.21 ""Hg",16 mph,36ʡF,73.0,,,,,,
248,4:50 pm,Light rain. Partly cloudy.,"29.24 ""Hg",14 mph,36ʡF,74.0,,,,,,
249,5:50 pm,Light rain. Partly cloudy.,"29.27 ""Hg",10 mph,36ʡF,75.0,,,,,,
250,6:50 pm,Light rain. Overcast.,"29.30 ""Hg",9 mph,36ʡF,76.0,,,,,,
251,7:50 pm,Partly cloudy.,"29.33 ""Hg",8 mph,36ʡF,77.0,,,,,,
252,8:50 pm,Light rain. Partly cloudy.,"29.36 ""Hg",12 mph,36ʡF,78.0,,,,,,
253,9:50 pm,Passing clouds.,"29.39 ""Hg",12 mph,36ʡF,79.0,,,,,,
254,10:50 pm,Partly cloudy.,"29.42 ""Hg",10 mph,34ʡF,80.0,,,,,,
255,11:50 pm,Passing clouds.,"29.42 ""Hg",12 mph,36ʡF,81.0,,,,,,
256,"12:50 amSat, Feb 1",Passing clouds.,"29.59 ""Hg",10 mph,52ʡF,82.0,,,,,,
257,1:50 am,Partly cloudy.,"29.59 ""Hg",9 mph,52ʡF,83.0,,,,,,
258,2:50 am,Passing clouds.,"29.56 ""Hg",10 mph,52ʡF,84.0,,,,,,
259,3:50 am,Partly cloudy.,"29.56 ""Hg",14 mph,52ʡF,85.0,,,,,,
260,4:50 am,Passing clouds.,"29.56 ""Hg",10 mph,50ʡF,86.0,,,,,,
261,5:50 am,Passing clouds.,"29.56 ""Hg",10 mph,50ʡF,87.0,,,,,,
262,6:50 am,Partly cloudy.,"29.56 ""Hg",15 mph,50ʡF,88.0,,,,,,
263,7:24 am,Partly cloudy.,"29.56 ""Hg",10 mph,50ʡF,89.0,,,,,,
264,7:50 am,Partly sunny.,"29.56 ""Hg",13 mph,50ʡF,90.0,,,,,,
265,8:20 am,Partly sunny.,"29.59 ""Hg",15 mph,50ʡF,91.0,,,,,,
266,8:50 am,Partly sunny.,"29.59 ""Hg",16 mph,50ʡF,92.0,,,,,,
267,9:20 am,Scattered clouds.,"29.59 ""Hg",20 mph,50ʡF,93.0,,,,,,
268,9:50 am,Passing clouds.,"29.59 ""Hg",18 mph,50ʡF,94.0,,,,,,
269,10:20 am,Passing clouds.,"29.59 ""Hg",21 mph,52ʡF,95.0,,,,,,
270,10:50 am,Passing clouds.,"29.62 ""Hg",24 mph,52ʡF,96.0,,,,,,
271,11:20 am,Passing clouds.,"29.62 ""Hg",21 mph,52ʡF,97.0,,,,,,
272,11:50 am,Passing clouds.,"29.62 ""Hg",22 mph,52ʡF,98.0,,,,,,
273,12:50 pm,Scattered clouds.,"29.65 ""Hg",24 mph,52ʡF,99.0,,,,,,
274,1:20 pm,Scattered clouds.,"29.65 ""Hg",24 mph,54ʡF,100.0,,,,,,
275,1:50 pm,Sprinkles. Scattered clouds.,"29.65 ""Hg",24 mph,52ʡF,101.0,,,,,,
276,2:20 pm,Passing clouds.,"29.65 ""Hg",29 mph,52ʡF,102.0,,,,,,
277,2:50 pm,Passing clouds.,"29.68 ""Hg",24 mph,54ʡF,103.0,,,,,,
278,3:50 pm,Passing clouds.,"29.68 ""Hg",25 mph,50ʡF,104.0,,,,,,
279,4:25 pm,Passing clouds.,"29.71 ""Hg",24 mph,50ʡF,105.0,,,,,,
280,4:50 pm,Passing clouds.,"29.71 ""Hg",24 mph,50ʡF,106.0,,,,,,
281,5:20 pm,Passing clouds.,"29.74 ""Hg",17 mph,48ʡF,107.0,,,,,,
282,5:50 pm,Passing clouds.,"29.74 ""Hg",17 mph,48ʡF,108.0,,,,,,
283,6:20 pm,Passing clouds.,"29.74 ""Hg",20 mph,48ʡF,109.0,,,,,,
284,6:50 pm,Passing clouds.,"29.77 ""Hg",17 mph,48ʡF,110.0,,,,,,
285,7:21 pm,Passing clouds.,"29.77 ""Hg",16 mph,46ʡF,111.0,,,,,,
286,7:50 pm,Passing clouds.,"29.80 ""Hg",13 mph,46ʡF,112.0,,,,,,
287,8:50 pm,Clear.,"29.80 ""Hg",13 mph,46ʡF,113.0,,,,,,
288,9:50 pm,Passing clouds.,"29.83 ""Hg",13 mph,45ʡF,114.0,,,,,,
289,10:50 pm,Overcast.,"29.83 ""Hg",10 mph,45ʡF,115.0,,,,,,
290,11:50 pm,Passing clouds.,"29.83 ""Hg",9 mph,45ʡF,116.0,,,,,,
291,"12:50 amFri, Mar 1",Partly cloudy.,"29.98 ""Hg",5 mph,48ʡF,117.0,,,,,,
292,1:50 am,Overcast.,"29.98 ""Hg",7 mph,48ʡF,118.0,,,,,,
293,2:50 am,Partly cloudy.,"30.01 ""Hg",8 mph,48ʡF,119.0,,,,,,
294,3:50 am,Partly cloudy.,"30.01 ""Hg",8 mph,48ʡF,120.0,,,,,,
295,4:50 am,Partly cloudy.,"30.04 ""Hg",8 mph,48ʡF,121.0,,,,,,
296,5:50 am,Passing clouds.,"30.04 ""Hg",7 mph,46ʡF,122.0,,,,,,
297,6:50 am,Overcast.,"30.07 ""Hg",8 mph,46ʡF,123.0,,,,,,
298,7:50 am,Partly sunny.,"30.07 ""Hg",7 mph,46ʡF,124.0,,,,,,
299,8:50 am,Overcast.,"30.09 ""Hg",7 mph,48ʡF,125.0,,,,,,
